Gene	Length(codons)	Average reads (per codon)	Sum of reads
YBL030C	319	118.238244514	37718
YDR519W	136	23.6544117647	3217
YDL130W-A	87	27.0114942529	2350
YNL036W	222	118.391891892	26283
YOR285W	140	58.3	8162
YPL106C	694	159.305475504	110558
YCR088W	593	54.7116357504	32444
YHR026W	214	40.7242990654	8715
YML106W	227	38.1762114537	8666
YLR150W	274	343.299270073	94064
YML008C	384	66.125	25392
YHR143W-A	71	33.5492957746	2382
YER048W-A	95	22.8736842105	2173
YLR395C	79	39.3544303797	3109
YFL045C	255	140.164705882	35742
YFL010C	212	59.7311320755	12663
YOL129W	185	22.8	4218
YDL004W	161	40.1118012422	6458
YOR198C	471	68.0042462845	32030
YHR089C	206	28.8155339806	5936
YLR301W	245	78.0	19110
YDL160C	507	36.9940828402	18756
YGR167W	234	43.952991453	10285
YBR283C	491	30.2892057026	14872
YOL058W	421	38.973871734	16408
YBR039W	312	35.5576923077	11094
YPL234C	165	53.9333333333	8899
YER120W	245	65.7142857143	16100
YML129C	71	28.0985915493	1995
YJR073C	207	125.666666667	26013
YOL154W	250	474.572	118643
YEL027W	161	260.385093168	41922
YOR224C	147	34.5170068027	5074
YGR065C	594	69.3451178451	41191
YCR004C	248	52.5685483871	13037
YFR044C	482	50.9979253112	24581
YPL271W	63	58.5873015873	3691
YOR265W	107	20.3551401869	2178
YFL014W	110	122.490909091	13474
YNL131W	153	68.2679738562	10445
YDL110C	151	29.7350993377	4490
YPR073C	162	23.3209876543	3778
YOR332W	234	149.876068376	35071
YDR524C-B	67	2111.76119403	141488
YKL096W	240	148.483333333	35636
YGL191W	130	39.5230769231	5138
YLR257W	322	40.751552795	13122
YPR133W-A	51	65.9019607843	3361
YNL300W	103	75.932038835	7821
YKL117W	217	118.631336406	25743
YGR189C	508	38.5433070866	19580
YKL035W	500	93.574	46787
YJR077C	312	54.3397435897	16954
YDR098C	251	29.5896414343	7427
YMR241W	315	52.4571428571	16524
YPR036W-A	68	547.323529412	37218
YDR461W	37	103.027027027	3812
YMR122W-A	85	283.811764706	24124
YNL135C	115	185.8	21367
YBL001C	105	41.1047619048	4316
YOR382W	154	31.2272727273	4809
YLR027C	419	52.4057279236	21958
YDR322C-A	97	24.1546391753	2343
YKL152C	248	1758.46774194	436100
YDL081C	107	546.738317757	58501
YBR025C	395	93.7924050633	37048
YIR037W	164	59.8963414634	9823
YPR165W	210	72.4142857143	15207
YDL208W	157	36.4777070064	5727
YFL037W	458	54.807860262	25102
YNL111C	121	23.6198347107	2858
YLR372W	346	37.4768786127	12967
YMR314W	235	37.5574468085	8826
YHR005C-A	94	50.9680851064	4791
YHR208W	394	35.576142132	14017
YLL014W	109	20.2201834862	2204
YCL050C	322	55.5372670807	17883
YER019C-A	89	46.6292134831	4150
YKL067W	154	50.8701298701	7834
YOL109W	114	334.596491228	38144
YDL046W	174	41.0459770115	7142
YMR202W	223	42.7488789238	9533
YDR454C	188	64.0744680851	12046
YPL061W	501	622.115768463	311680
YIL138C	162	31.3518518519	5079
YJR123W	226	621.309734513	140416
YDL067C	60	67.7833333333	4067
YMR256C	61	41.6393442623	2540
YBL041W	242	46.5041322314	11254
YML004C	327	34.128440367	11160
YKL192C	126	81.1428571429	10224
YIL041W	327	55.9174311927	18285
YIL002W-A	70	23.5285714286	1647
YNL070W	61	59.2950819672	3617
YNL244C	109	96.623853211	10532
YLR438C-A	90	26.7888888889	2411
YDR529C	128	43.34375	5548
YER112W	188	15.9308510638	2995
YCR053W	515	62.213592233	32040
YJL174W	277	26.5415162455	7352
YOR136W	370	58.8864864865	21788
YBR196C	555	343.493693694	190639
YDR002W	202	124.915841584	25233
YJR085C	106	41.8490566038	4436
YHL034C	295	87.3966101695	25782
YER036C	611	33.8232405892	20666
YLL018C	558	71.9874551971	40169
YHR179W	401	110.551122195	44331
YML092C	251	38.374501992	9632
YNL239W	455	30.5846153846	13916
YNL145W	39	316.564102564	12346
YDR226W	223	192.659192825	42963
YNL160W	355	27.8845070423	9899
YAL038W	501	2040.11976048	1022100
YOR369C	144	539.986111111	77758
YGL256W	383	119.511749347	45773
YLR325C	79	550.341772152	43477
YBR088C	259	32.3783783784	8386
YKL103C	515	21.7941747573	11224
YKL196C	201	30.1293532338	6056
YER025W	528	37.1098484848	19594
YMR226C	268	51.0149253731	13672
YER178W	421	80.2446555819	33783
YOL038W	255	37.6156862745	9592
YER043C	450	413.144444444	185915
YGL105W	377	93.9655172414	35425
YNL010W	242	59.9049586777	14497
YPL131W	298	501.604026846	149478
YGR155W	508	121.088582677	61513
YHR018C	464	50.4461206897	23407
YOL005C	121	27.2644628099	3299
YGR282C	314	180.496815287	56676
YLR216C	372	61.0295698925	22703
YBR127C	518	100.947876448	52291
YDR368W	313	33.6166134185	10522
YLR192C	266	41.3082706767	10988
YBR149W	345	40.9913043478	14142
YNR057C	238	38.3907563025	9137
YOR374W	520	97.3769230769	50636
YGR180C	346	109.10982659	37752
YDR050C	249	1158.562249	288482
YOR153W	1512	46.9246031746	70950
YLR110C	134	3317.14925373	444498
YBR106W	189	122.529100529	23158
YNR001C	480	54.8604166667	26333
YNL178W	241	531.510373444	128094
YHR162W	130	90.0846153846	11711
YGR037C	88	209.625	18447
YGR284C	311	26.768488746	8325
YPR069C	294	68.0612244898	20010
YOR298C-A	152	153.118421053	23274
YDR429C	275	39.7854545455	10941
YDL045W-A	96	18.8645833333	1811
YGL187C	156	28.1666666667	4394
YJL167W	353	100.504249292	35478
YNL064C	410	71.112195122	29156
YOR045W	62	53.3225806452	3306
YHR104W	328	25.0640243902	8221
YDR363W-A	90	53.4	4806
YDR497C	585	77.8632478632	45550
YPL037C	158	246.063291139	38878
YPL135W	166	32.2831325301	5359
YKL085W	335	29.1791044776	9775
YGR286C	376	87.4281914894	32873
YBR067C	211	252.815165877	53344
YML012W	212	46.7405660377	9909
YLR060W	596	37.5184563758	22361
YDR071C	192	43.9583333333	8440
YDR353W	320	86.003125	27521
YHR183W	490	120.969387755	59275
YDL085C-A	69	18.3333333333	1265
YER094C	206	38.432038835	7917
YMR260C	154	85.5649350649	13177
YML078W	183	62.8306010929	11498
YIL043C	285	28.5403508772	8134
YMR083W	376	42.8457446809	16110
YEL002C	431	27.0928074246	11677
YOL030W	485	32.4226804124	15725
YMR099C	298	37.0100671141	11029
YLR153C	684	63.5979532164	43501
YDR086C	81	115.987654321	9395
YKR042W	366	227.860655738	83397
YOR142W	330	47.1090909091	15546
YOR184W	396	38.9898989899	15440
YLR208W	298	36.8154362416	10971
YER087C-B	83	55.6626506024	4620
YER072W	130	48.0461538462	6246
YBR249C	371	59.1644204852	21950
YDR023W	463	76.9654427646	35635
YCR009C	266	30.3082706767	8062
YMR251W-A	60	473.016666667	28381
YJR105W	341	125.627565982	42839
YLR058C	470	92.1574468085	43314
